State,District,Population,Confirmed,Deceased,Recovered,Tested,Vaccinated1,Vaccinated2
CT,Raipur,4062160,33,0,15,0,10441,40794
CT,Rajnandgaon,1537520,5,0,3,0,15753,25270
CT,Sukma,249000,1,0,4,0,3208,5401
CT,Surajpur,660280,0,0,0,0,13506,13873
CT,Surguja,420661,2,0,0,0,29827,33226
CT,Uttar Bastar Kanker,748593,3,0,1,0,17930,14621
DL,Delhi,19814000,267,0,239,395086,160323,269146
DN,Dadra and Nagar Haveli,343709,0,0,0,0,870,6759
DN,Daman,191173,0,0,2,0,1880,6793
DN,Diu,52074,0,0,0,0,52,690
GA,North Goa,817761,0,0,0,0,4007,23958
GA,South Goa,639962,0,0,0,0,4401,22504
GA,Unknown,639962,222,6,409,0,0,0
GJ,Ahmedabad,7208200,22,0,14,0,47316,169891
GJ,Amreli,1513614,0,0,0,0,5473,39398
GJ,Anand,2090276,6,0,1,0,33012,46764
GJ,Aravalli,1051746,0,0,0,0,1439,32201
GJ,Banaskantha,3116045,0,0,0,0,16080,82985
GJ,Bharuch,1550822,0,0,0,0,21270,45926
GJ,Bhavnagar,2877961,1,0,0,0,19467,81374
GJ,Botad,656005,0,0,0,0,929,14235
GJ,Chhota Udaipur,1071831,0,0,0,0,699,19920
GJ,Dahod,2126558,0,0,0,0,626,53547
GJ,Dang,226769,0,0,0,0,4140,3726
GJ,Devbhumi Dwarka,752484,0,0,0,0,4666,24924
GJ,Gandhinagar,1387478,0,0,0,0,5475,36333
GJ,Gir Somnath,1217477,2,0,2,0,8524,15341
GJ,Jamnagar,2159130,5,0,3,0,9406,37158
GJ,Junagadh,2742291,6,0,2,0,2660,71531
GJ,Kheda,2298934,0,0,1,0,11668,73838
GJ,Kutch,2090313,5,0,1,0,8920,49662
GJ,Mahisagar,994624,0,0,0,0,62,16517
GJ,Mehsana,2027727,0,0,1,0,7523,48550
GJ,Morbi,960329,0,0,0,0,9950,20297
GJ,Narmada,590379,0,0,2,0,546,13890
GJ,Navsari,1330711,5,0,13,0,1852,29095
GJ,Panchmahal,2388267,0,0,0,0,7294,44832
GJ,Patan,1342746,0,0,0,0,3369,37745
GJ,Porbandar,586062,0,0,0,0,1140,13063
GJ,Rajkot,3157676,7,0,7,0,17510,53546
GJ,Sabarkantha,2427346,1,0,0,0,4232,45789
GJ,Surat,4996391,38,1,30,0,35083,115694
GJ,Surendranagar,1755873,0,0,0,0,18641,79795
GJ,Tapi,806489,0,0,0,0,3010,23409
GJ,Vadodara,3639775,36,0,14,0,16527,182027
GJ,Valsad,1703068,25,1,25,0,6616,36430
HP,Bilaspur,382056,133,0,77,0,695,15071
HP,Chamba,518844,27,0,13,0,1439,18796
HP,Hamirpur,454293,288,4,228,0,713,26076
HP,Kangra,1507223,657,10,454,0,2399,39940
HP,Kinnaur,84298,2,0,6,0,95,517
HP,Kullu,437474,19,0,18,0,889,9323
HP,Lahaul and Spiti,31528,0,0,0,0,30,412
HP,Mandi,999518,140,3,141,0,1156,26214
HP,Shimla,813384,100,3,66,0,2224,37351
HP,Sirmaur,530164,1,0,0,0,1388,22247
HP,Solan,576670,25,0,27,0,1393,21242
HP,Una,521057,145,0,124,0,824,16782
HR,Ambala,1136784,2,0,1,0,3021,25458
HR,Bhiwani,1629109,0,0,0,0,6166,25664
HR,Charkhi Dadri,502276,0,0,2,0,941,11884
HR,Faridabad,1798954,18,0,7,0,17515,30156
HR,Fatehabad,941522,0,0,0,0,1800,7458
HR,Gurugram,1514085,55,0,48,0,20221,48107
HR,Hisar,1742815,2,0,0,0,5821,12364
HR,Jhajjar,956907,1,0,0,0,8229,19599
HR,Jind,1332042,1,0,0,0,13366,21662
HR,Kaithal,1072861,0,0,2,0,4183,11836
HR,Karnal,1506323,1,0,0,0,8109,23328
HR,Kurukshetra,964231,1,0,1,0,4064,9522
HR,Mahendragarh,921680,0,0,0,0,4857,10632
HR,Nuh,1089406,0,0,0,0,10812,3789
HR,Palwal,1040493,0,0,0,0,7558,9496
HR,Panchkula,558890,10,0,12,0,1786,10743
HR,Panipat,1202811,1,0,0,0,7950,12888
HR,Rewari,896129,0,0,4,0,2550,9877
HR,Rohtak,1058683,0,0,1,0,11409,17219
HR,Sirsa,1295114,3,0,2,0,4263,8228
HR,Sonipat,1480080,0,0,1,0,9421,21065
HR,Yamunanagar,1214162,0,0,6,0,6471,16554
JH,Bokaro,2061918,15,0,13,0,27554,34375
JH,Chatra,1042304,0,0,0,0,5946,11402
JH,Deoghar,1491879,2,0,1,0,9801,19008
JH,Dhanbad,2682662,24,0,13,0,33374,34095
JH,Dumka,1321096,2,0,2,0,12679,22872
JH,East Singhbhum,2291032,47,2,42,0,11994,29238
JH,Garhwa,1322387,6,0,7,0,17210,15386
JH,Giridih,2445203,0,0,0,0,16994,29823
JH,Godda,1311382,1,0,1,0,7385,16537
JH,Gumla,1025656,5,0,0,0,4900,8696
JH,Hazaribagh,1734005,3,0,3,0,11940,21857
JH,Jamtara,790207,4,1,3,0,9614,12331
JH,Khunti,530299,0,0,0,0,3335,3834
JH,Koderma,717169,0,0,0,0,3393,11488
JH,Latehar,725673,0,0,0,0,9565,7719
JH,Lohardaga,461738,0,0,2,0,3444,3563
JH,Pakur,899200,0,0,0,0,9945,9107
JH,Palamu,1936319,0,0,0,0,21657,37375
JH,Ramgarh,949159,7,0,0,0,5306,10927
JH,Ranchi,2912022,182,0,228,0,35099,38856
JH,Sahibganj,1150038,0,0,0,0,10449,13687
JH,Saraikela-Kharsawan,1063458,0,0,0,0,11215,12399
JH,Simdega,599813,0,0,0,0,1694,4126
JH,Unknown,599813,-166,0,-70,0,0,0
